Datetime,AEP_MW
01:00,1
02:00,1
03:00,1
04:00,1
05:00,1
06:00,1
07:00,1
08:00,1
09:00,1
10:00,1
11:00,2
12:00,2
13:00,1
14:00,1
15:00,1
16:00,1
17:00,1
18:00,2
19:00,2
20:00,1
21:00,1
22:00,1
23:00,1
00:00,1
01:00,1
02:00,1
03:00,1
04:00,1
05:00,1
06:00,1
07:00,2
08:00,2
09:00,2
10:00,2
11:00,2
12:00,2
13:00,2
14:00,2
15:00,2
16:00,1
17:00,2
18:00,2
19:00,2
20:00,2
21:00,2
22:00,2
23:00,2
00:00,1
01:00,2
02:00,1
03:00,1
04:00,1
05:00,1
06:00,2
07:00,2
08:00,2
09:00,2
10:00,2
11:00,2
12:00,2
13:00,2
14:00,2
15:00,2
16:00,2
17:00,2
18:00,2
19:00,2
20:00,2
21:00,2
22:00,2
23:00,2
00:00,1
01:00,2
02:00,2
03:00,2
04:00,2
05:00,2
06:00,2
07:00,2
08:00,2
09:00,2
10:00,2
11:00,2
12:00,2
13:00,2
14:00,2
15:00,2
16:00,2
17:00,2
18:00,2
19:00,2
20:00,2
21:00,2
22:00,2
23:00,2
00:00,2
01:00,2
02:00,2
03:00,2
04:00,2
05:00,2
06:00,2
07:00,2
08:00,2
09:00,2
10:00,2
11:00,2
12:00,2
13:00,2
14:00,2
15:00,2
16:00,2
17:00,2
18:00,2
19:00,2
20:00,2
21:00,2
22:00,2
23:00,2
00:00,2
01:00,2
02:00,1
03:00,1
04:00,1
05:00,1
06:00,1
07:00,2
08:00,2
09:00,2
10:00,2
11:00,2
12:00,2
13:00,2
14:00,2
15:00,2
16:00,2
17:00,2
18:00,2
19:00,2
20:00,2
21:00,2
22:00,2
23:00,2
00:00,2
01:00,2
02:00,2
03:00,2
04:00,2
05:00,2
06:00,2
07:00,2
08:00,2
09:00,2
10:00,2
11:00,2
12:00,2
13:00,2
14:00,2
15:00,1
16:00,1
17:00,1
18:00,2
19:00,2
20:00,2
21:00,2
22:00,2
23:00,2
00:00,2
01:00,2
02:00,2
03:00,2
04:00,2
05:00,2
06:00,2
07:00,2
08:00,2
09:00,2
10:00,2
11:00,2
12:00,2
13:00,2
14:00,2
15:00,2
16:00,2
17:00,2
18:00,2
19:00,2
20:00,2
21:00,2
22:00,2
23:00,2
00:00,2
01:00,2
02:00,1
03:00,1
04:00,1
05:00,1
06:00,1
07:00,1
08:00,2
09:00,2
10:00,2
11:00,2
12:00,2
13:00,2
14:00,2
15:00,2
16:00,2
17:00,2
18:00,2
19:00,2
20:00,2
21:00,2
22:00,2
23:00,2
00:00,2
01:00,2
02:00,2
03:00,1
04:00,1
05:00,2
06:00,2
07:00,2
08:00,2
09:00,2
10:00,2
11:00,2
12:00,2
13:00,2
14:00,2
15:00,2
16:00,2
17:00,2
18:00,2
19:00,2
20:00,2
21:00,2
22:00,2
23:00,2
00:00,2
01:00,2
02:00,2
03:00,2
04:00,2
05:00,2
06:00,2
07:00,2
08:00,2
09:00,2
10:00,2
11:00,2
12:00,2
13:00,2
14:00,2
15:00,2
16:00,2
17:00,2
18:00,2
19:00,2
20:00,2
21:00,2
22:00,2
23:00,2
00:00,2
01:00,2
02:00,2
03:00,2
04:00,2
05:00,2
06:00,2
07:00,2
08:00,2
09:00,2
10:00,2
11:00,2
12:00,2
13:00,2
14:00,2
15:00,2
16:00,2
17:00,2
18:00,2
19:00,2
20:00,2
21:00,2
22:00,2
23:00,2
00:00,2
01:00,1
02:00,1
03:00,1
04:00,1
05:00,1
06:00,1
07:00,2
08:00,2
09:00,2
10:00,2
11:00,2
12:00,2
13:00,2
14:00,2
15:00,2
16:00,2
17:00,2
18:00,2
19:00,2
20:00,2
21:00,2
22:00,2
23:00,2
00:00,2
01:00,2
02:00,2
03:00,2
04:00,2
